Identifier,Remarks,Filter,default,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr,sv,tr,zh,zht
,master levels names,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_ATTACK,,,Attack,,,,Attacke,,,,,,,,,,,,,Atak,,,,Атака,,,,,
ML_CANYON,,,Canyon,,,,Schlucht,,,,,,,,,,,,,Kanion,,,,Каньон,,,,,
ML_CATWALK,,,The Catwalk,,,,Der Laufsteg,,,,,,,,,,,,,Pomost,,,,Подиум,,,,,
ML_COMBINE,,,The Combine,,,,Der Mähdrescher,,,,,,,,,,,,,Kombinat,,,,Комбайн,,,,,
ML_FISTULA,,,The Fistula,,,,Die Fistel,,,,,,,,,,,,,Przetoka,,,,Фистула,,,,,
ML_GARRISON,,,The Garrison,,,,Die Garnison,,,,,,,,,,,,,Garnizon,,,,Гарнизон,,,,,
ML_MANOR,,,Titan Manor,,,,Anwesen auf dem Titan,,,,,,,,,,,,,Rezydencja na Tytanie,,,,Поместье на Титане,,,,,
ML_PARADOX,,,Paradox,,,,,,,,,,,,,,,,,,,,,Парадокс,,,,,
ML_SUBSPACE,,,Subspace,,,,Subraum,,,,,,,,,,,,,Podprzestrzeń,,,,Подпространство,,,,,
ML_SUBTERRA,,,Subterra,,,,Unter der Erde,,,,,,,,,,,,,Podziemia,,,,Субтерра,,,,,
ML_TTRAP,,,Trapped on Titan,,,,Gefangen auf dem Titan,,,,,,,,,,,,,Uwięziony na Tytanie,,,,Застрявший на Титане,,,,,
ML_VIRGIL,,,Virgil's Lead,,,,Virgils's Pfad,,,,,,,,,,,,,Droga Wergiliusza,,,,Путь Вергилия,,,,,
ML_MINOS,,,Minos' Judgement,,,,Minos' Urteil,,,,,,,,,,,,,Wyrok Minosa,,,,Суждение Миноса,,,,,
ML_BLOODSEA,,,Bloodsea Keep,,,,Festung der blutigen See,,,,,,,,,,,,,Twierdza Krwawego Morza,,,,Крепость Кровавого Моря,,,,,
